date,Clean Spark Spread,Clean Dark Spread
2021-03-05,3.73,-5.87
2021-03-06,-5.04,-16.36
2021-03-07,-4.79,-16.36
2021-03-08,12.12,1.69
2021-03-09,9.36,-0.34
2021-03-10,-2.27,-11.27
2021-03-11,-26.95,-34.98
2021-03-12,-33.27,-41.08
2021-03-13,-43.23,-52.97
2021-03-14,-39.0,-49.09
2021-03-15,-5.08,-13.93
2021-03-16,2.53,-6.6
2021-03-17,3.13,-6.14
2021-03-18,11.07,1.38
2021-03-19,3.58,-6.74
2021-03-20,-2.07,-13.74
2021-03-21,-18.53,-30.01
2021-03-22,5.99,-3.67
2021-03-23,7.46,-0.79
2021-03-24,0.51,-7.88
2021-03-25,4.72,-3.63
2021-03-26,-3.86,-12.37
2021-03-27,-30.47,-40.55
2021-03-28,-36.84,-47.11
2021-03-29,-14.21,-23.33
2021-03-30,-0.32,-8.76
2021-03-31,2.49,-6.26
2021-04-01,-4.56,-12.65
2021-04-02,-20.49,-28.87
2021-04-03,-17.57,-27.58
2021-04-04,-29.58,-39.86
2021-04-05,-74.4,-83.47
2021-04-06,-23.43,-31.37
2021-04-07,-7.33,-16.17
2021-04-08,0.62,-8.56
2021-04-09,-2.92,-12.49
2021-04-10,1.38,-9.61
2021-04-11,-9.31,-20.05
2021-04-12,4.14,-4.62
2021-04-13,-0.45,-9.27
2021-04-14,11.17,2.64
2021-04-15,7.26,-0.45
2021-04-16,2.63,-4.51
2021-04-17,0.58,-8.17
2021-04-18,1.82,-6.67
2021-04-19,14.67,8.46
2021-04-20,14.06,7.42
2021-04-21,-2.23,-9.3
2021-04-22,-17.11,-24.46
2021-04-23,1.4,-8.43
